,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
joeyking,0.037439436,0.09250776,0.063661814,0.07967492,0.12416429,0.0864822,0.29623267,0.032585412,0.039842248,0.14740928
johnstamos,0.044186115,0.109154925,0.08961845,0.06399509,0.131588,0.08703871,0.27460694,0.038445838,0.047008485,0.114357404
joiechavis,0.03104389,0.10016044,0.07991416,0.05211561,0.13989949,0.092597105,0.2921424,0.04090103,0.0500105,0.12121537
jojo_babie,0.04477764,0.09538798,0.076107115,0.06484398,0.13323265,0.08818498,0.280244,0.03895273,0.04762817,0.13064077
jordynwoods,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
joselyncano,0.040602855,0.10028289,0.08409957,0.05879563,0.1379366,0.080736846,0.30811068,0.035320397,0.043186583,0.110927954
joynerlucas,0.031043906,0.100160494,0.0799142,0.052115638,0.13989957,0.09259715,0.29214206,0.04090105,0.050010525,0.121215425
juli.annee,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
jvn,0.023543937,0.100175,0.072709896,0.051632687,0.118186675,0.09442597,0.31795552,0.04312521,0.07422241,0.10402267
jwoww,0.029180354,0.10915915,0.075115204,0.048986245,0.13149711,0.087036304,0.319637,0.038445454,0.04700788,0.113935314
kalanihilliker,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
kalesalad,0.031043915,0.100160524,0.09588486,0.052115653,0.1398996,0.09259718,0.2761712,0.04090106,0.05001054,0.12121546
kandi,0.029627925,0.110823795,0.09148928,0.04973525,0.13350305,0.088365845,0.2940186,0.039034475,0.047727898,0.11567391
karliekloss,0.024112517,0.10261037,0.062071197,0.04047941,0.18309213,0.08431645,0.3261588,0.031768788,0.038844325,0.106546044
karrueche,0.031043874,0.10016039,0.079914115,0.052115582,0.13989942,0.09259705,0.29214278,0.04090101,0.050010473,0.121215306
kateupton,0.029624393,0.095580555,0.076260045,0.0497326,0.13350251,0.08836305,0.32450956,0.03903081,0.047723744,0.11567274
katyaelisehenry,0.030082809,0.11253825,0.07744011,0.05050217,0.13556837,0.089730404,0.29857817,0.039634783,0.04846223,0.11746268
keke,0.044867456,0.09558227,0.07626157,0.049733452,0.15888944,0.088456415,0.26834217,0.03903148,0.04772457,0.13111119
kiernanshipka,0.030083,0.11253896,0.077440605,0.06598061,0.15104213,0.08973098,0.26762274,0.039635036,0.04846254,0.11746343
kingbach,0.02786687,0.104402766,0.07220262,0.046779238,0.12569863,0.0849716,0.3094151,0.03671429,0.0448911,0.1470578
kristenhanby,0.044862583,0.09560208,0.07627757,0.049744293,0.13353191,0.08838314,0.27884486,0.054130074,0.047735322,0.13088818
kuz,0.029180877,0.09414694,0.07511655,0.048987124,0.1615129,0.087037854,0.25958696,0.03844614,0.092047304,0.113937356
lacikaysomers,0.023817884,0.089098066,0.061311554,0.05223655,0.14409018,0.12005891,0.28537473,0.043631744,0.06287796,0.11750238
laurenconrad,0.027922027,0.10445485,0.07187776,0.046874713,0.1258308,0.09765204,0.33459303,0.036787905,0.044981297,0.109025605
letoyaluckett,0.031043863,0.10016035,0.09588642,0.052115563,0.13989936,0.092597015,0.27617073,0.040900994,0.050010454,0.12121526
lianev,0.028692758,0.122087725,0.07385748,0.048166078,0.12929215,0.10033997,0.2867528,0.037802458,0.046221454,0.12678711
lilyjcollins,0.029625319,0.11082319,0.07626059,0.049733214,0.13350233,0.08836346,0.2787864,0.03903169,0.047724687,0.14614911
lira_galore,0.030082854,0.11253842,0.07744023,0.06597944,0.13556857,0.08973054,0.28309995,0.039634842,0.048462305,0.117462866
lizzzak,0.037615314,0.088486664,0.068769954,0.0692644,0.15292339,0.10430047,0.24179012,0.053487018,0.058692653,0.124670014
ludacris,0.046262987,0.09858743,0.07865949,0.051297657,0.13770168,0.091143064,0.27183038,0.055980112,0.049225956,0.119311266
lynaritaa,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
maisie_williams,0.03653209,0.07782116,0.09926872,0.052901674,0.15832709,0.096526355,0.26417467,0.069003314,0.05126515,0.094179824
mandymooremm,0.039989673,0.12594831,0.067973875,0.057913665,0.14615415,0.07876193,0.30282605,0.034790337,0.042538617,0.10310344
melissamccarthy,0.029179703,0.094145805,0.10513621,0.048986066,0.14651227,0.08703664,0.28961462,0.03844492,0.047007367,0.11393638
mendeecees,0.031043945,0.1161303,0.0799143,0.0521157,0.13989975,0.09259727,0.27617148,0.040901102,0.050010588,0.12121558
michelle_lewin,0.029669467,0.11098903,0.07764397,0.04980723,0.13720849,0.08940955,0.29516062,0.039089836,0.047795746,0.12322602
mirandasingsofficial,0.028749052,0.10754871,0.074006714,0.0482631,0.15911661,0.0857521,0.30011767,0.037877526,0.046313602,0.11225484
missdollycastro,0.03072312,0.11583123,0.0808898,0.05157579,0.13940649,0.09241875,0.27851763,0.04047801,0.04949324,0.12066591
monicabrown,0.04001327,0.11496011,0.07155892,0.053395003,0.14002094,0.07915863,0.30197448,0.04627389,0.041915763,0.110729
moriahmillss,0.02793109,0.11879032,0.07190106,0.046889912,0.12587155,0.14054413,0.26284423,0.03679984,0.04499589,0.12343195
mykie,0.02147489,0.13593265,0.066879675,0.03628921,0.11058756,0.086796574,0.3383895,0.061673537,0.045642063,0.096334375
nashgrier,0.031044845,0.10016052,0.07991461,0.05211618,0.13989888,0.092597365,0.29213923,0.040901918,0.050011434,0.12121502
nattyiceofficial,0.044192735,0.1091598,0.07511533,0.048986077,0.14650746,0.10204917,0.27460074,0.03844493,0.04700738,0.11393641
normani,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
ocasio2018,0.024730204,0.10523061,0.089071624,0.054234404,0.13685979,0.0991994,0.30898,0.045302603,0.039838612,0.09655277
oliviaculpo,0.023838876,0.12823702,0.06177282,0.06450631,0.1430893,0.083990745,0.2865842,0.05592974,0.05067566,0.1013753
oliviajade,0.030082848,0.11253706,0.09291868,0.050502237,0.13556854,0.08973052,0.28310016,0.039634835,0.048462294,0.117462836
paulpogba,0.030085385,0.112544626,0.09287683,0.050505526,0.15104651,0.08973566,0.2676329,0.039637826,0.048465814,0.1174689
paulvedere,0.043540917,0.107423745,0.07401605,0.063063,0.1443641,0.08576249,0.27057368,0.03788345,0.04632058,0.12705195
phfame,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
playmateiryna,0.043541968,0.122267894,0.07401194,0.04826675,0.12956573,0.10053001,0.28535566,0.03788077,0.046317436,0.11226188
pokimanelol,0.030082809,0.11253825,0.07744011,0.05050217,0.13556837,0.089730404,0.29857817,0.039634783,0.04846223,0.11746268
prettyboyfredo,0.0317488,0.13232231,0.097080775,0.056753725,0.105234094,0.10561815,0.27409986,0.04918531,0.03376787,0.11418911
princesslove,0.031548742,0.101786196,0.081211686,0.052962076,0.14216952,0.0941003,0.28065008,0.041565802,0.05082317,0.12318242
princess_of_da_south,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
realbarbarapalvin,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
realberniceburgos,0.03244771,0.08034211,0.07723206,0.0469862,0.12984629,0.108270936,0.2938121,0.07226781,0.034512635,0.124282174
realpaigewwe,0.029882252,0.096135795,0.094669685,0.049775157,0.13417093,0.09089595,0.29897103,0.039050784,0.04780172,0.11864672
relationships.usa,0.03055577,0.09858557,0.07865763,0.051296167,0.13769977,0.09114115,0.30327243,0.04025792,0.049224157,0.11930943
rickeythompson,0.031043887,0.100160435,0.07991415,0.052115604,0.13989948,0.09259709,0.27617094,0.040901024,0.05001049,0.13718693
ritaora,0.027701862,0.1036248,0.085560806,0.04650312,0.13908109,0.10482475,0.27492133,0.05074894,0.044625536,0.12240777
romeestrijd,0.030082809,0.11253825,0.07744011,0.05050217,0.13556837,0.089730404,0.29857817,0.039634783,0.04846223,0.11746268
rosiehw,0.025896706,0.110193335,0.068918265,0.083423175,0.15835752,0.07887396,0.2678811,0.034117978,0.055037644,0.11730036
rubyrose,0.029181112,0.10916164,0.075117156,0.04898752,0.13150051,0.1020276,0.3046306,0.03844645,0.0470091,0.11393827
russwest44,0.02747646,0.10277785,0.0990014,0.046125203,0.12381572,0.096083805,0.28873658,0.05031117,0.04426264,0.12140921
sabrinacarpenter,0.0608799,0.09496579,0.08197651,0.05392524,0.13073947,0.07989045,0.34104607,0.026241431,0.04233311,0.08800202
sadiesink_,0.029181434,0.09414608,0.0751162,0.048987146,0.13149762,0.1020499,0.3196301,0.03844655,0.047009088,0.11393593
